ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;NIVEL;CARGO;NOME_CARGO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA;CLIENTE;TEMA;FONTE;DATA_CARGA;DATA_ACESSO;FORMATO_ORIGEM;PERIODICIDADE;RESPONSAVEL;VERSAO_SCRIPT;AMBIENTE_EXECUCAO
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;10057;AUXILIAR OPERACIONAL DE AGROPECUARIA;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;104010;AUXILIAR DE LABORATORIO;87;87;72;15;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;104020;AUXILIAR OPERACIONAL EM AGROPECUARIA;623;623;361;262;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482009;AG OPERAC DE TELEC E ELETRICIDADE;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482018;ARTIFICE DE ARTES GRAFICAS;6;6;6;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482019;ARTIF DE CARPINT E MARCENARIA;2;2;2;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482021;ARTIF DE ELETRIC COMUNICACOES;3;3;3;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482025;ARTIFICE DE MECANICA;3;3;3;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482038;AUXILIAR DE ARTIFICE;13;13;13;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
Mar 2021;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;N/A;482065;AUXILIAR DE SERV GERAIS;1;1;1;0;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:49;xlsx;Mensal;Automação de Script;1.0;Produção
